Activity,Date,Duration
Discussion,2016-01-11,7.5
Discussion,2016-01-12,8.0
Discussion,2016-01-13,12.0
Discussion,2016-01-14,0
Discussion,2016-01-15,5.0
Discussion,2016-01-16,0
Discussion,2016-01-17,0
Discussion,2016-01-18,0
Discussion,2016-01-19,3.5
Discussion,2016-01-20,10.0
Discussion,2016-01-21,0
Discussion,2016-01-22,0.75
Non-Technical Work,2016-01-15,1.0
Non-Technical Work,2016-01-16,0
Non-Technical Work,2016-01-17,0
Non-Technical Work,2016-01-18,0
Non-Technical Work,2016-01-19,0
Non-Technical Work,2016-01-20,0.5
Non-Technical Work,2016-01-21,4.0
Non-Technical Work,2016-01-22,3.75
Personal,2016-01-10,1.5
Personal,2016-01-11,0
Personal,2016-01-12,1.0
Personal,2016-01-13,1.0
Personal,2016-01-14,7.25
Personal,2016-01-15,6.5
Personal,2016-01-16,9.5
Personal,2016-01-17,10.25
Personal,2016-01-18,13.5
Personal,2016-01-19,0
Personal,2016-01-20,0.5
Personal,2016-01-21,2.0
Personal,2016-01-22,4.0
Personal,2016-01-23,6.5
Personal,2016-01-24,4.5
Sleep,2016-01-10,4.5
Sleep,2016-01-11,2.0
Sleep,2016-01-12,5.0
Sleep,2016-01-13,5.0
Sleep,2016-01-14,5.0
Sleep,2016-01-15,3.0
Sleep,2016-01-16,4.5
Sleep,2016-01-17,4.5
Sleep,2016-01-18,4.5
Sleep,2016-01-19,4.5
Sleep,2016-01-20,5.0
Sleep,2016-01-21,4.0
Sleep,2016-01-22,5.0
Sleep,2016-01-23,4.5
Sleep,2016-01-24,4.5
Technical Work,2016-01-10,7.5
Technical Work,2016-01-11,12.5
Technical Work,2016-01-12,10.0
Technical Work,2016-01-13,6.0
Technical Work,2016-01-14,11.75
Technical Work,2016-01-15,8.5
Technical Work,2016-01-16,10.0
Technical Work,2016-01-17,9.25
Technical Work,2016-01-18,6.0
Technical Work,2016-01-19,16.0
Technical Work,2016-01-20,8.0
Technical Work,2016-01-21,0
Technical Work,2016-01-22,10.5
Technical Work,2016-01-23,13.0
Technical Work,2016-01-24,15.0
Travel,2016-01-10,10.5
Travel,2016-01-11,2.0
Travel,2016-01-12,0
Travel,2016-01-13,0
Travel,2016-01-14,0
Travel,2016-01-15,0
Travel,2016-01-16,0
Travel,2016-01-17,0
Travel,2016-01-18,0
Travel,2016-01-19,0
Travel,2016-01-20,0
Travel,2016-01-21,14.0
